movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Where the Heart Is,female,2,23-Feb-90,Comedy,,"$1,106,475 ","$2,210,321.00"
Pretty Woman,female,2,23-Mar-90,Romantic Comedy,R,"$178,406,268 ","$356,389,765.00"
Ernest Goes to Jail,male,1,6-Apr-90,Comedy,PG,"$25,029,569 ","$49,999,822.00"
Spaced Invaders,male,1,27-Apr-90,Comedy,PG,"$15,000,000 ","$29,964,452.00"
Fire Birds,male,1,24-May-90,Action,PG-13,"$14,760,451 ","$29,485,923.00"
Dick Tracy,male,1,15-Jun-90,Action,PG,"$103,738,726 ","$207,231,621.00"
Betsy's Wedding,female,2,22-Jun-90,Comedy,R,"$19,740,070 ","$39,433,357.00"
Arachnophobia,female,2,18-Jul-90,Thriller/Suspense,PG-13,"$53,208,180 ","$106,290,270.00"
DuckTales: The Movie - Treasure of th…,male,1,3-Aug-90,Adventure,G,"$18,075,331 ","$36,107,823.00"
Taking Care of Business,male,1,17-Aug-90,Comedy,R,"$20,005,435 ","$39,963,460.00"
Mr. Destiny,male,1,12-Oct-90,Comedy,PG-13,"$15,379,253 ","$30,722,056.00"
The Rescuers Down Under,male,1,16-Nov-90,Adventure,G,"$27,931,461 ","$55,796,728.00"
3 Men and a Little Lady,male,1,21-Nov-90,Comedy,PG,"$71,609,321 ","$143,108,869.00"
Green Card,male,1,25-Dec-90,Romantic Comedy,PG-13,"$29,804,169 ","$59,679,131.00"
White Fang,male,1,18-Jan-91,Adventure,PG,"$34,729,091 ","$69,540,672.00"
Scenes from a Mall,female,2,22-Feb-91,Comedy,,"$9,563,393 ","$19,149,495.00"
Haakon Haakonsen,female,2,1-Mar-91,Adventure,PG,"$15,024,232 ","$30,084,149.00"
The Marrying Man,male,1,5-Apr-91,Romantic Comedy,R,"$12,454,768 ","$24,939,118.00"
Oscar,male,1,26-Apr-91,Comedy,PG,"$23,562,716 ","$47,181,395.00"
One Good Cop,male,1,3-May-91,Action,R,"$11,276,846 ","$22,580,472.00"
What About Bob?,male,1,17-May-91,Comedy,PG,"$63,710,000 ","$127,571,325.00"
Wild Hearts Can't Be Broken,male,1,24-May-91,Drama,,"$7,300,000 ","$14,617,333.00"
The Rocketeer,male,1,21-Jun-91,Action,PG,"$46,573,027 ","$93,256,673.00"
The Doctor,male,1,24-Jul-91,Drama,PG-13,"$37,497,480 ","$75,084,021.00"
Paradise,male,1,18-Sep-91,Drama,PG-13,"$18,634,643 ","$37,313,540.00"
Deceived,male,1,27-Sep-91,Thriller/Suspense,PG-13,"$28,738,096 ","$57,544,453.00"
