movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Blame it on the Bellboy,male,1,6-Mar-92,Comedy,PG-13,2891055.00,5872667.00
Noises Off...,female,2,20-Mar-92,Comedy,PG-13,2280148.00,4631720.00
Straight Talk,female,2,3-Apr-92,Comedy,PG,21202099.00,43068356.00
Newsies,female,2,8-Apr-92,,PG,2706352.00,5497481.00
Passed Away,male,1,24-Apr-92,,PG-13,4030793.00,8187848.00
Encino Man,male,1,22-May-92,Comedy,PG,40057130.00,81369058.00
Sister Act,female,2,29-May-92,Comedy,PG,139605150.00,283583472.00
Honey I Blew Up the Kid,male,1,17-Jul-92,Comedy,PG,58662452.00,119162518.00
A Stranger Among Us,male,1,17-Jul-92,Drama,PG-13,12282994.00,24950752.00
3 Ninjas,male,1,7-Aug-92,Action,PG,29028000.00,58965304.00
A Gun in Betty Lou's Handbag,female,2,21-Aug-92,,PG-13,3591460.00,7295423.00
Captain Ron,male,1,18-Sep-92,Comedy,PG-13,22518097.00,45741576.00
Sarafina!,female,2,18-Sep-92,Drama,PG-13,7306242.00,14841352.00
Innocent Blood,male,1,25-Sep-92,Horror,R,4877567.00,9907922.00
The Mighty Ducks,male,1,2-Oct-92,Comedy,PG,50752337.00,103120810.00
1492: Conquest of Paradise,male,1,9-Oct-92,Adventure,PG-13,7099531.00,14421454.00
Consenting Adults,female,2,16-Oct-92,Drama,R,21591728.00,43859823.00
Aladdin,male,1,11-Nov-92,Comedy,G,217350219.00,441969178.00
The Distinguished Gentleman,male,1,4-Dec-92,Comedy,R,46434570.00,94349900.00
The Muppet Christmas Carol,male,1,11-Dec-92,Comedy,G,27281507.00,55417615.00
Alive,male,1,15-Jan-93,Adventure,R,36299670.00,73914543.00
Aspen Extreme,female,2,22-Jan-93,Romantic Comedy,PG-13,7843388.00,15970955.00
Homeward Bound: The Incredible Journey,male,1,3-Feb-93,Adventure,G,41833324.00,85182343.00
The Cemetery Club,male,1,3-Feb-93,Comedy,PG-13,5583621.00,11369541.00
Swing Kids,female,2,5-Mar-93,Musical,PG-13,5632086.00,11468231.00
A Far Off Place,male,1,12-Mar-93,Adventure,PG,12890752.00,26248558.00
Born Yesterday,male,1,26-Mar-93,Romantic Comedy,PG,17760754.00,36165012.00
The Adventures of Huck Finn,male,1,2-Apr-93,Adventure,PG,24103594.00,49080505.00
Bound by Honor,male,1,16-Apr-93,,R,4496583.00,9156084.00
Indian Summer,female,2,23-Apr-93,Comedy,R,14717851.00,29968953.00
Super Mario Bros.,male,1,28-May-93,Action,PG,20844907.00,42445058.00
Guilty as Sin,male,1,4-Jun-93,Thriller/Suspense,R,22622537.00,46064723.00
Life With Mikey,male,1,4-Jun-93,Comedy,PG,12349549.00,25146538.00
What's Love Got to Do With It,female,2,9-Jun-93,Drama,R,39100956.00,79618610.00
Son in Law,male,1,2-Jul-93,Comedy,PG-13,25989889.00,52921433.00
Hocus Pocus,female,2,16-Jul-93,Comedy,PG,39360491.00,80147079.00
Another Stakeout,male,1,23-Jul-93,Comedy,PG-13,20107504.00,40943541.00
My Boyfriend's Back,female,2,6-Aug-93,,PG-13,3218882.00,6554384.00
Father Hood,male,1,27-Aug-93,,PG-13,3268203.00,6654819.00
The Joy Luck Club,female,2,8-Sep-93,Drama,R,32790064.00,66768171.00
Money for Nothing,female,2,10-Sep-93,Comedy,R,1044824.00,2127496.00
The Program,female,2,24-Sep-93,Action,R,23042200.00,46919256.00
Cool Runnings,male,1,1-Oct-93,Comedy,PG,68856263.00,140392731.00
The Nightmare Before Christmas,male,1,13-Oct-93,Musical,PG,50408318.00,100026637.00
The Three Musketeers,male,1,12-Nov-93,Adventure,PG,53661805.00,109310377.00
Sister Act 2 Back in the Habit,female,2,10-Dec-93,Comedy,PG,57319029.00,116965668.00
Tombstone,male,1,25-Dec-93,Western,R,56505065.00,115781734.00
The Air Up There,male,1,7-Jan-94,Comedy,PG,20782439.00,42940186.00
Cabin Boy,male,1,7-Jan-94,Comedy,PG-13,3469493.00,7168577.00
Iron Will,male,1,14-Jan-94,Drama,PG,20623071.00,42610902.00
Red Rock West,male,1,28-Jan-94,,R,2502551.00,5170709.00
Blank Check,male,1,11-Feb-94,Comedy,PG,30573770.00,63170804.00
Angie,female,2,4-Mar-94,Comedy,R,9252349.00,19116981.00
The Ref,male,1,9-Mar-94,Comedy,R,11325885.00,23401275.00
D2: The Mighty Ducks,male,1,25-Mar-94,Comedy,PG,45604206.00,94226333.00
Holy Matrimony,female,2,8-Apr-94,Comedy,,713234.00,1473665.00
White Fang 2: Myth of the White Wolf,male,1,15-Apr-94,Adventure,PG,8752399.00,18083994.00
The Inkwell,male,1,22-Apr-94,Comedy,R,8864699.00,18316030.00
When a Man Loves a Woman,female,2,29-Apr-94,Drama,R,50021959.00,103354194.00
3 Ninjas Kick Back,male,1,6-May-94,Action,PG,11744960.00,24267154.00
Renaissance Man,male,1,3-Jun-94,Comedy,PG-13,24172899.00,49945474.00
The Lion King,male,1,15-Jun-94,Adventure,G,422780140.00,761640898.00
I Love Trouble,male,1,29-Jun-94,Romantic Comedy,PG,30806194.00,63651027.00
Angels in the Outfield,female,2,15-Jul-94,Comedy,PG,50236831.00,103798152.00
In the Army Now,male,1,12-Aug-94,Comedy,PG,28881266.00,59673787.00
Color of Night,male,1,19-Aug-94,Thriller/Suspense,R,19750470.00,40804816.00
Camp Nowhere,male,1,26-Aug-94,Comedy,PG,10442641.00,21576332.00
It's Pat,female,2,26-Aug-94,Comedy,,60822.00,125666.00
A Simple Twist of Fate,female,2,2-Sep-94,Drama,PG-13,3404935.00,7035189.00
Quiz Show,male,1,14-Sep-94,Drama,PG-13,24787282.00,50840394.00
Terminal Velocity,male,1,23-Sep-94,Action,PG-13,16478900.00,34048315.00
Ed Wood,male,1,30-Sep-94,Comedy,R,5828466.00,12042634.00
The Puppet Masters,male,1,21-Oct-94,Horror,R,8579626.00,17727017.00
Squanto: A Warrior's Tale,male,1,28-Oct-94,Drama,PG,3319344.00,6858345.00
The Santa Clause,male,1,11-Nov-94,Comedy,PG,144833357.00,298369717.00
A Low Down Dirty Shame,male,1,23-Nov-94,Action,R,29317886.00,60321919.00
The Jungle Book,male,1,25-Dec-94,Adventure,PG,44342956.00,88930321.00
Houseguest,male,1,6-Jan-95,Comedy,PG,26325256.00,51016522.00
Bad Company,female,2,20-Jan-95,Thriller/Suspense,R,3523909.00,6829092.00
Miami Rhapsody,male,1,27-Jan-95,Romantic Comedy,PG-13,5086578.00,9857435.00
The Jerky Boys,male,1,3-Feb-95,Comedy,R,7555256.00,14641561.00
Heavy Weights,male,1,17-Feb-95,Comedy,PG,17671310.00,34245779.00
Man of the House,male,1,3-Mar-95,Comedy,PG,40029009.00,77573459.00
Roommates,male,1,3-Mar-95,Comedy,PG,12076989.00,23404369.00
Tall Tale,male,1,24-Mar-95,Western,PG,8247627.00,15983331.00
A Pyromaniac's Love Story,female,2,28-Mar-95,Romantic Comedy,PG,468240.00,907414.00
Jefferson in Paris,male,1,31-Mar-95,Drama,PG-13,2461628.00,4770461.00
Funny Bones,male,1,31-Mar-95,Comedy,R,529135.00,1025425.00
A Goofy Movie,male,1,7-Apr-95,Comedy,G,35336439.00,68479579.00
While You Were Sleeping,female,2,21-Apr-95,Romantic Comedy,PG,81057016.00,157082900.00
Crimson Tide,female,2,12-May-95,Action,R,91387195.00,177102077.00
Mad Love,male,1,26-May-95,Drama,PG-13,15446532.00,29934306.00
Pocahontas,female,2,10-Jun-95,Adventure,G,141579773.00,274370957.00
Judge Dredd,male,1,30-Jun-95,Action,R,34687912.00,67222776.00
Operation Dumbo Drop,male,1,28-Jul-95,Adventure,PG,24670346.00,47809421.00
Dangerous Minds,male,1,11-Aug-95,Drama,R,84919401.00,164552293.00
A Kid in King Arthur's Court,male,1,11-Aug-95,Adventure,PG,13406717.00,25981285.00
The Tie That Binds,male,1,8-Sep-95,Thriller/Suspense,R,5762795.00,11167895.00
Unstrung Heroes,female,2,15-Sep-95,Drama,PG,7929000.00,15365850.00
The Big Green,male,1,29-Sep-95,Comedy,PG,17736619.00,34372339.00
Dead Presidents,male,1,4-Oct-95,Drama,R,24120194.00,46741467.00
The Scarlet Letter,male,1,13-Oct-95,Drama,R,10359006.00,20075033.00
Feast of July,male,1,13-Oct-95,Drama,R,293274.00,568342.00
Powder,male,1,27-Oct-95,Drama,PG-13,30833914.00,59727216.00
Toy Story,male,1,22-Nov-95,Adventure,G,191796233.00,370409631.00
Father of the Bride Part II,male,1,8-Dec-95,Comedy,PG,76578911.00,147658438.00
Nixon,male,1,20-Dec-95,Drama,R,13668249.00,26302005.00
Tom and Huck,male,1,22-Dec-95,Adventure,PG,23837227.00,45911517.00
Mr. Holland's Opus,male,1,29-Dec-95,Drama,PG,82582604.00,157508868.00
White Squall,female,2,2-Feb-96,Adventure,PG-13,10229300.00,19509726.00
Muppet Treasure Island,female,2,16-Feb-96,Adventure,G,34327391.00,65470567.00
Mr. Wrong,male,1,16-Feb-96,Romantic Comedy,PG-13,12805071.00,24422334.00
Before and After,female,2,23-Feb-96,Drama,PG-13,8642118.00,16482589.00
Up Close & Personal,female,2,1-Mar-96,Drama,PG-13,51045801.00,97356578.00
Homeward Bound II: Lost in San Franc…,male,1,8-Mar-96,Adventure,G,32709423.00,62384706.00
Two Much,female,2,15-Mar-96,Romantic Comedy,PG-13,1078555.00,2057055.00
Un indien dans la ville,female,2,22-Mar-96,Comedy,PG,1029731.00,1963937.00
James and the Giant Peach,male,1,12-Apr-96,Adventure,PG,28921264.00,55159783.00
Celtic Pride,male,1,19-Apr-96,Comedy,PG-13,9240378.00,17623615.00
Last Dance,male,1,3-May-96,Drama,R,5857534.00,11171714.00
Boys,male,1,10-May-96,Drama,PG-13,21930418.00,41826566.00
Spy Hard,male,1,24-May-96,Comedy,PG-13,26936265.00,51373912.00
Eddie,male,1,31-May-96,Comedy,PG-13,31369401.00,59828966.00
The Rock,female,2,7-Jun-96,Action,R,134069511.00,255702705.00
The Hunchback of Notre Dame,male,1,21-Jun-96,Adventure,G,100138851.00,190988799.00
Phenomenon,male,1,5-Jul-96,Drama,PG,104636382.00,199559799.00
Kazaam,male,1,17-Jul-96,Comedy,PG,18880508.00,36009655.00
Jack,male,1,9-Aug-96,Drama,PG-13,58617334.00,111792852.00
First Kid,male,1,30-Aug-96,Comedy,PG,26465920.00,50465108.00
The Rich Man's Wife,female,2,13-Sep-96,Thriller/Suspense,R,8538318.00,16284619.00
D3: The Mighty Ducks,male,1,4-Oct-96,Comedy,PG,22936273.00,43713554.00
The Associate,male,1,25-Oct-96,Comedy,PG-13,12772657.00,24333094.00
Ransom,female,2,8-Nov-96,Action,R,136492681.00,259807820.00
The War at Home,male,1,20-Nov-96,,R,34368.00,65543.00
101 Dalmatians,male,1,27-Nov-96,Comedy,G,136189294.00,258728898.00
The Preacher's Wife,female,2,13-Dec-96,Drama,PG,48102795.00,91076877.00
Evita,female,2,25-Dec-96,Musical,PG,50047179.00,92077628.00
Metro,male,1,17-Jan-97,Action,R,32017895.00,58804106.00
Prefontaine,male,1,24-Jan-97,Drama,PG-13,590817.00,1085093.00
Shadow Conspiracy,male,1,31-Jan-97,Thriller/Suspense,R,2154540.00,3957025.00
That Darn Cat,female,2,14-Feb-97,Comedy,PG,18301828.00,33613158.00
Jungle 2 Jungle,male,1,7-Mar-97,Comedy,PG,59925026.00,110058379.00
The Sixth Man,male,1,28-Mar-97,Comedy,PG-13,14765099.00,27117599.00
Grosse Pointe Blank,male,1,11-Apr-97,Black Comedy,R,28084357.00,51579764.00
Romy and Michele's High School Reunion,female,2,25-Apr-97,Comedy,R,29235353.00,53693680.00
Gone Fishin',male,1,30-May-97,Comedy,PG,19745922.00,36265379.00
Con Air,female,2,6-Jun-97,Action,R,101117573.00,185712664.00
Hercules,male,1,13-Jun-97,Adventure,G,99112101.00,182029412.00
George Of The Jungle,male,1,16-Jul-97,Comedy,PG,105263257.00,193326632.00
Nothing To Lose,male,1,18-Jul-97,Comedy,R,44480039.00,81692095.00
Air Bud,male,1,1-Aug-97,Comedy,PG,24646936.00,45266588.00
G.I. Jane,female,2,22-Aug-97,Drama,R,48169156.00,88467531.00
A Thousand Acres,female,2,19-Sep-97,Drama,R,7928412.00,14561324.00
Washington Square,female,2,5-Oct-97,Drama,PG,1775644.00,3257546.00
Rocket Man,male,1,10-Oct-97,Comedy,PG,15448043.00,28371890.00
Playing God,male,1,17-Oct-97,Thriller/Suspense,R,4166918.00,7652965.00
Flubber,male,1,26-Nov-97,Comedy,PG,92993801.00,170406423.00
An American Werewolf in Paris,male,1,25-Dec-97,Horror,R,26570463.00,48546161.00
Mr. Magoo,male,1,25-Dec-97,Comedy,PG,21437192.00,39145784.00
Kundun,male,1,25-Dec-97,Drama,PG-13,5686694.00,10236836.00
Deep Rising,male,1,30-Jan-98,Action,R,11203026.00,20136775.00
Krippendorf's Tribe,female,2,27-Feb-98,Comedy,PG-13,7571115.00,13608633.00
An Alan Smithee Film: Burn Hollywood …,male,1,27-Feb-98,Comedy,R,45779.00,82277.00
Meet the Deedles,male,1,27-Mar-98,Comedy,PG,4356126.00,7829877.00
He Got Game,male,1,1-May-98,Drama,R,21567853.00,38766948.00
The Horse Whisperer,female,2,15-May-98,Drama,PG-13,75383563.00,135497531.00
"Six Days, Seven Nights",female,2,12-Jun-98,Romantic Comedy,PG-13,74339294.00,133620516.00
Mulan,female,2,19-Jun-98,Adventure,G,120620254.00,216807832.00
Armageddon,male,1,1-Jul-98,Adventure,PG-13,201578182.00,362324957.00
Jane Austen's Mafia,female,2,24-Jul-98,Comedy,PG-13,19843795.00,35668055.00
The Parent Trap,female,2,29-Jul-98,Comedy,PG,66308518.00,119185667.00
Firelight,male,1,4-Sep-98,Drama,R,784419.00,1409943.00
Simon Birch,male,1,11-Sep-98,Drama,PG,18253415.00,32809442.00
Holy Man,male,1,9-Oct-98,Comedy,PG,12069719.00,21694605.00
