movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Mr. Magoo,male,1,25-Dec-97,Comedy,PG,21437192,39145784
Kundun,male,1,25-Dec-97,Drama,PG-13,5686694,10236836
Deep Rising,male,1,30-Jan-98,Action,R,11203026,20136775
Krippendorf's Tribe,female,2,27-Feb-98,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood …,male,1,27-Feb-98,Comedy,R,45779,82277
Meet the Deedles,male,1,27-Mar-98,Comedy,PG,4356126,7829877
He Got Game,male,1,1-May-98,Drama,R,21567853,38766948
The Horse Whisperer,female,2,15-May-98,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",female,2,12-Jun-98,Romantic Comedy,PG-13,74339294,133620516
Mulan,female,2,19-Jun-98,Adventure,G,120620254,216807832
Armageddon,male,1,1-Jul-98,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,female,2,24-Jul-98,Comedy,PG-13,19843795,35668055
The Parent Trap,female,2,29-Jul-98,Comedy,PG,66308518,119185667
Firelight,male,1,4-Sep-98,Drama,R,784419,1409943
Simon Birch,male,1,11-Sep-98,Drama,PG,18253415,32809442
Holy Man,male,1,9-Oct-98,Comedy,PG,12069719,21694605
Beloved,female,2,16-Oct-98,Drama,R,22852487,41062682
The Waterboy,male,1,6-Nov-98,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,male,1,13-Nov-98,Comedy,PG,12214338,21941840
A Bug's Life,male,1,20-Nov-98,Adventure,G,162798565,288981698
Enemy of the State,male,1,20-Nov-98,Action,R,111549836,198472008
Rushmore,male,1,11-Dec-98,Black Comedy,R,17105219,28392518
A Civil Action,female,2,25-Dec-98,Drama,PG-13,56709981,94139530
Mighty Joe Young,male,1,25-Dec-98,Adventure,PG,50632037,87906042
My Favorite Martian,male,1,12-Feb-99,Comedy,PG,36850101,61150849
The Other Sister,female,2,26-Feb-99,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,male,1,26-Mar-99,Adventure,G,19421271,32228598
Ten Things I Hate About You,female,2,31-Mar-99,Romantic Comedy,PG-13,38177966,63354375
Endurance,female,2,14-May-99,,PG,229128,380218
Instinct,female,2,4-Jun-99,Drama,R,34105207,56595842
Tarzan,male,1,16-Jun-99,Adventure,G,171091819,283900254
Summer of Sam,male,1,2-Jul-99,Drama,R,19288130,32007656
Inspector Gadget,female,2,23-Jul-99,Comedy,PG,97387965,161610341
The Sixth Sense,male,1,6-Aug-99,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,male,1,27-Aug-99,Action,R,32698899,54262148
Breakfast of Champions,male,1,17-Sep-99,Comedy,R,178287,295851
Mumford,male,1,24-Sep-99,Comedy,R,4559569,7566363
"Mystery, Alaska",male,1,1-Oct-99,Comedy,R,8891623,14755189
The Straight Story,male,1,15-Oct-99,Drama,G,6197866,10111144
The Insider,male,1,5-Nov-99,Drama,R,28965197,47794214
Toy Story 2,male,1,19-Nov-99,Adventure,G,245852179,404450426
Cradle Will Rock,female,2,8-Dec-99,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,male,1,10-Dec-99,Comedy,R,65535067,106921374
Bicentennial Man,male,1,17-Dec-99,Drama,PG,58220776,94838225
Play it to the Bone,male,1,24-Dec-99,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),male,1,1-Jan-00,Musical,G,60507228,94852354
Gun Shy,male,1,4-Feb-00,Comedy,R,1638202,2562155
The Tigger Movie,male,1,11-Feb-00,Adventure,G,45542421,71228678
Mission to Mars,male,1,10-Mar-00,Adventure,PG,60874615,95208344
High Fidelity,male,1,31-Mar-00,Comedy,R,27277055,42661516
Keeping the Faith,female,2,14-Apr-00,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,male,1,19-May-00,Adventure,PG,137748063,215438985
Shanghai Noon,male,1,26-May-00,Western,PG-13,56932305,89042541
Gone in 60 Seconds,male,1,9-Jun-00,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),male,1,16-Jun-00,Musical,G,9103630,14238144
The Kid,male,1,7-Jul-00,Comedy,PG,69688384,108993148
Coyote Ugly,female,2,4-Aug-00,Drama,PG-13,60786269,95070168
The Crew,male,1,25-Aug-00,Comedy,PG-13,13019253,20362201
Duets,male,1,15-Sep-00,Drama,R,4734235,7404372
Remember the Titans,male,1,29-Sep-00,Drama,PG,115654751,180742479
Unbreakable,male,1,22-Nov-00,Thriller/Suspense,PG-13,94999143,148208901
102 Dalmatians,male,1,22-Nov-00,Comedy,G,66941559,104055039
The Emperor's New Groove,male,1,15-Dec-00,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",male,1,22-Dec-00,Comedy,PG-13,45506619,67922002
Double Take,male,1,12-Jan-01,Action,PG-13,29823162,44418589
Recess: School's Out,female,2,16-Feb-01,Comedy,G,36696761,54656124
Just Visiting,male,1,6-Apr-01,Comedy,PG-13,4777007,7114869
Pearl Harbor,male,1,25-May-01,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,female,2,8-Jun-01,Adventure,PG,84052762,125188122
crazy/beautiful,male,1,29-Jun-01,Drama,PG-13,16929123,25214223
The Princess Diaries,female,2,3-Aug-01,Comedy,G,108244774,161218928
Bubble Boy,male,1,24-Aug-01,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,male,1,5-Oct-01,Comedy,PG,17292381,25749730
Corky Romano,male,1,12-Oct-01,Comedy,PG-13,23978402,35705805
High Heels and Low Lifes,female,2,26-Oct-01,,R,226792,337782
"Monsters, Inc.",male,1,2-Nov-01,Adventure,G,289423425,416073179
Out Cold,female,2,21-Nov-01,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,male,1,14-Dec-01,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),female,2,1-Jan-02,Musical,G,25487028,36980311
Frank McKlusky C.I.,male,1,1-Jan-02,,,0,0
Snow Dogs,male,1,18-Jan-02,Comedy,PG,81150692,117745317
The Count of Monte Cristo,male,1,25-Jan-02,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,male,1,15-Feb-02,Adventure,G,48430258,70269715
Reign of Fire,male,1,19-Feb-02,Action,PG-13,43061982,62480631
Sorority Boys,male,1,22-Mar-02,Comedy,R,10198766,14797862
The Rookie,male,1,29-Mar-02,Drama,G,75600072,109691666
Big Trouble,male,1,5-Apr-02,Comedy,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,male,1,10-May-02,Documentary,PG,4197175,6089874
Bad Company,male,1,7-Jun-02,Action,PG-13,30157016,43756218
Lilo & Stitch,male,1,21-Jun-02,Adventure,PG,145771527,211506702
The Country Bears,female,2,26-Jul-02,Adventure,G,16988996,24650121
Signs,female,2,2-Aug-02,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,female,2,20-Sep-02,Adventure,PG,10049886,14338992
Sweet Home Alabama,female,2,27-Sep-02,Comedy,PG-13,127214072,184521151
Moonlight Mile,female,2,27-Sep-02,Drama,PG-13,6830957,9909094
Tuck Everlasting,male,1,11-Oct-02,Drama,PG,19161999,27789959
The Santa Clause 2,male,1,1-Nov-02,Comedy,G,139225854,201959095
Treasure Planet,female,2,27-Nov-02,Adventure,PG,38120554,55189145
The Hot Chick,female,2,13-Dec-02,Comedy,PG-13,35081550,50624654
25th Hour,male,1,19-Dec-02,Drama,R,13084595,18325463
The Recruit,male,1,31-Jan-03,Thriller/Suspense,PG-13,52784696,73793522
Shanghai Knights,female,2,7-Feb-03,Adventure,PG-13,60470220,84537962
The Jungle Book 2,male,1,14-Feb-03,Adventure,G,47901582,66966883
Bringing Down the House,male,1,7-Mar-03,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,male,1,21-Mar-03,Comedy,G,23103423,32298812
Ghosts of the Abyss,male,1,11-Apr-03,Documentary,G,17093668,23803108
